,jd,mag,mag_unc,filter,limmag,programid
0,44244.100220192806,55.0651541751101,0.1,g,inf,0.0
1,44244.100220192806,61.172039382035784,0.1,i,inf,0.0
2,44244.100220192806,123.31746599427198,0.1,r,inf,0.0
3,44244.600220192806,25.772266276677698,0.1,g,inf,0.0
4,44244.600220192806,24.536577272204497,0.1,i,inf,0.0
5,44244.600220192806,29.941826174776246,0.1,r,inf,0.0
6,44245.100220192806,24.67272871497597,0.1,g,inf,0.0
7,44245.100220192806,24.974183951759812,0.1,i,inf,0.0
8,44245.100220192806,30.29601166926571,0.1,r,inf,0.0
9,44245.600220192806,19.678532116700467,0.1,g,inf,0.0
10,44245.600220192806,22.434705701579666,0.1,i,inf,0.0
11,44245.600220192806,36.497612191898895,0.1,r,inf,0.0
12,44246.100220192806,17.054777984170926,0.1,g,inf,0.0
13,44246.100220192806,16.475937551267364,0.1,i,inf,0.0
14,44246.100220192806,29.598400526953803,0.1,r,inf,0.0
15,44246.600220192806,16.7532608529775,0.1,i,inf,0.0
16,44246.600220192806,24.85341991348954,0.1,r,inf,0.0
17,44246.600220192806,17.765667523061285,0.1,g,inf,0.0
18,44247.100220192806,23.040747953946884,0.1,r,inf,0.0
19,44247.100220192806,19.267261272677317,0.1,g,inf,0.0
20,44247.100220192806,18.265684201166685,0.1,i,inf,0.0
21,44247.600220192806,24.326868498624968,0.1,r,inf,0.0
22,44247.600220192806,20.995969414103747,0.1,g,inf,0.0
23,44247.600220192806,20.421358489068535,0.1,i,inf,0.0
24,44248.100220192806,23.801590939151662,0.1,r,inf,0.0
25,44248.100220192806,22.140166564365884,0.1,g,inf,0.0
26,44248.100220192806,22.908662578614848,0.1,i,inf,0.0
27,44248.600220192806,24.703212423577767,0.1,r,inf,0.0
28,44248.600220192806,22.431417316849235,0.1,g,inf,0.0
29,44248.600220192806,24.972524720206643,0.1,i,inf,0.0
30,44249.100220192806,25.667512055385295,0.1,r,inf,0.0
31,44249.100220192806,26.821357128396336,0.1,i,inf,0.0
32,44249.100220192806,22.661996341182387,0.1,g,inf,0.0
33,44249.600220192806,28.939331183104766,0.1,i,inf,0.0
