luminosity_distance KNphi inclination_EM KNtimeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
801.0721370608013 26.58049167701474 0.5524125735486939 -0.03861711920653699 -1.436559178757554 -2.060613212778009 0.0 -118.947823379195 -15.8227585238678
855.2977975269755 24.959765849014087 0.5627924248354196 -0.05020728490234072 -1.291596614889359 -2.3537618148871697 0.0 -118.83300349084561 -15.716146813423217
773.0263724411992 20.673596160019944 0.5619157287650267 -0.058330889794643515 -1.347868683047324 -1.9864062180859021 0.0 -118.8034539489739 -15.857228201922545
853.06368406951 19.378167772977328 0.5560786065598234 -0.0663442087217363 -1.0618003771259295 -2.644217793680701 0.0 -117.96708757610014 -15.73042588641094
818.3417921300224 24.297919789936557 0.55285100875773 -0.07053986236755794 -1.0709182201333842 -2.2439963003573298 0.0 -117.40571438013865 -15.792547028537465
835.1242082454283 20.770305399578533 0.5572206656019799 -0.028340897048957814 -1.4228537849081229 -1.4322447450151132 0.0 -116.7949414501052 -15.757604189449973
856.1241078028645 15.132643502930696 0.5608363325119322 -0.00869942996261086 -1.081061292190951 -1.938858095304906 0.0 -116.75143369513586 -15.717941886713342
840.7833963271661 20.09033893250676 0.5584867547210743 -0.08743900165579177 -1.247841333396289 -2.9733927398042814 0.0 -116.38958486152151 -15.746334341851542
779.3990439144189 25.0039655042753 0.5549947105482906 0.0039476062749317364 -1.0240485155640164 -2.2137555812366654 0.0 -116.32672055791981 -15.85680283318633
857.7585934713672 16.386284022238254 0.5713691143068198 -0.015268226415101172 -1.2281911210950867 -1.8656342001335955 0.0 -116.25493679467397 -15.698775865611365
827.2217326481829 15.47007645228768 0.570405710127175 -0.05706232331543393 -1.1234681116957146 -2.004663466386564 0.0 -116.22072142492169 -15.749792462888808
842.17364407895 16.470512779234127 0.5621422017529202 -0.09076343494021533 -1.1961639295107809 -2.596113078255395 0.0 -116.18009754656524 -15.73825026784919
824.7561877169837 15.491648068540194 0.564268378992397 -0.07687957871484885 -1.1103946254059691 -2.697153642585802 0.0 -116.10231989366392 -15.76352691825168
