,jd,mag,mag_unc,filter,limmag,programid
0,44244.10021994477,66.74571245021157,0.1,g,inf,0.0
1,44244.10021994477,78.41009608689767,0.1,i,inf,0.0
2,44244.10021994477,164.85844720490124,0.1,r,inf,0.0
3,44244.60021994477,27.217046942103096,0.1,g,inf,0.0
4,44244.60021994477,24.10325176143451,0.1,i,inf,0.0
5,44244.60021994477,32.7492058328606,0.1,r,inf,0.0
6,44245.10021994477,25.991589524513692,0.1,g,inf,0.0
7,44245.10021994477,25.10224617773538,0.1,i,inf,0.0
8,44245.10021994477,35.28165643823561,0.1,r,inf,0.0
9,44245.60021994477,18.913881273093992,0.1,g,inf,0.0
10,44245.60021994477,20.679735519932233,0.1,i,inf,0.0
11,44245.60021994477,44.40129524924385,0.1,r,inf,0.0
12,44246.10021994477,15.62695921070122,0.1,g,inf,0.0
13,44246.10021994477,11.849265542419882,0.1,i,inf,0.0
14,44246.10021994477,33.270948157873434,0.1,r,inf,0.0
15,44246.60021994477,12.285694363879951,0.1,i,inf,0.0
16,44246.60021994477,26.529763575244715,0.1,r,inf,0.0
17,44246.60021994477,16.60002695986362,0.1,g,inf,0.0
18,44247.10021994477,24.62011025359893,0.1,r,inf,0.0
19,44247.10021994477,18.42362185466075,0.1,g,inf,0.0
20,44247.10021994477,14.654900191733056,0.1,i,inf,0.0
21,44247.60021994477,26.07838654599541,0.1,r,inf,0.0
22,44247.60021994477,20.258184599781607,0.1,g,inf,0.0
23,44247.60021994477,18.060064879342548,0.1,i,inf,0.0
24,44248.10021994477,24.889867665333668,0.1,r,inf,0.0
25,44248.10021994477,21.861437927190014,0.1,g,inf,0.0
26,44248.10021994477,21.480392684109088,0.1,i,inf,0.0
27,44248.60021994477,25.75606815065213,0.1,r,inf,0.0
28,44248.60021994477,21.434641688505913,0.1,g,inf,0.0
29,44248.60021994477,24.488875162330324,0.1,i,inf,0.0
30,44249.10021994477,27.292570753357353,0.1,r,inf,0.0
31,44249.10021994477,27.211546350657542,0.1,i,inf,0.0
32,44249.10021994477,21.535644690704867,0.1,g,inf,0.0
33,44249.60021994477,30.33402297640612,0.1,i,inf,0.0
34,44249.60021994477,29.574114431332976,0.1,r,inf,0.0
35,44249.60021994477,22.24035142083757,0.1,g,inf,0.0
36,44250.10021994477,32.875564105997626,0.1,i,inf,0.0
37,44250.10021994477,34.98068145248466,0.1,r,inf,0.0
38,44250.10021994477,22.197388080241982,0.1,g,inf,0.0
39,44250.60021994477,35.74289086982195,0.1,i,inf,0.0
40,44250.60021994477,40.27602702012517,0.1,r,inf,0.0
41,44250.60021994477,23.100975935729608,0.1,g,inf,0.0
42,44251.10021994477,39.31535738791816,0.1,i,inf,0.0
43,44251.10021994477,43.831849820342676,0.1,r,inf,0.0
44,44251.10021994477,22.40832692665621,0.1,g,inf,0.0
45,44251.60021994477,51.03223069350592,0.1,r,inf,0.0
46,44251.60021994477,22.564609382711183,0.1,g,inf,0.0
47,44251.60021994477,42.83930364772549,0.1,i,inf,0.0
48,44252.10021994477,23.050271096594024,0.1,g,inf,0.0
49,44252.10021994477,45.24195754037007,0.1,i,inf,0.0
50,44252.10021994477,56.38595477670542,0.1,r,inf,0.0
51,44252.60021994477,23.516413391502816,0.1,g,inf,0.0
52,44252.60021994477,48.3648757227312,0.1,i,inf,0.0
53,44252.60021994477,60.233828689257294,0.1,r,inf,0.0
54,44253.10021994477,24.345297078430306,0.1,g,inf,0.0
55,44253.10021994477,51.24229052169405,0.1,i,inf,0.0
56,44253.10021994477,64.7498561317885,0.1,r,inf,0.0
57,44253.60021994477,22.922069158703327,0.1,g,inf,0.0
58,44253.60021994477,53.51398824129382,0.1,i,inf,0.0
59,44253.60021994477,68.62334026177255,0.1,r,inf,0.0
60,44254.10021994477,56.16366489939109,0.1,i,inf,0.0
61,44254.10021994477,70.52728698547342,0.1,r,inf,0.0
62,44254.10021994477,23.500155341998653,0.1,g,inf,0.0
63,44254.60021994477,75.8806649962086,0.1,r,inf,0.0
64,44254.60021994477,24.43093038799173,0.1,g,inf,0.0
65,44254.60021994477,58.018051040465004,0.1,i,inf,0.0
66,44255.10021994477,77.81466587024966,0.1,r,inf,0.0
67,44255.10021994477,25.046346411805402,0.1,g,inf,0.0
68,44255.10021994477,59.60959020956299,0.1,i,inf,0.0
69,44255.60021994477,81.36843427236224,0.1,r,inf,0.0
70,44255.60021994477,24.475224210186834,0.1,g,inf,0.0
71,44255.60021994477,61.892657296973276,0.1,i,inf,0.0
72,44256.10021994477,84.59301032113333,0.1,r,inf,0.0
73,44256.10021994477,24.86357306770927,0.1,g,inf,0.0
74,44256.10021994477,63.379201821557004,0.1,i,inf,0.0
75,44256.60021994477,23.852862773348484,0.1,g,inf,0.0
76,44256.60021994477,64.50579405376948,0.1,i,inf,0.0
77,44256.60021994477,86.5491629938681,0.1,r,inf,0.0
78,44257.10021994477,66.00323136512492,0.1,i,inf,0.0
79,44257.10021994477,87.55666105188313,0.1,r,inf,0.0
80,44257.10021994477,25.019072580529464,0.1,g,inf,0.0
81,44257.60021994477,66.13171516011072,0.1,i,inf,0.0
82,44257.60021994477,88.38349167901771,0.1,r,inf,0.0
83,44257.60021994477,24.242600163118663,0.1,g,inf,0.0
84,44258.10021994477,66.78376420810292,0.1,i,inf,0.0
85,44258.10021994477,90.90979088668638,0.1,r,inf,0.0
86,44258.10021994477,27.27180131612362,0.1,g,inf,0.0
87,44258.60021994477,67.5155306064719,0.1,i,inf,0.0
88,44258.60021994477,93.84124172608173,0.1,r,inf,0.0
89,44258.60021994477,26.373201698679107,0.1,g,inf,0.0
90,44259.10021994477,67.75658205886647,0.1,i,inf,0.0
91,44259.10021994477,25.084347010078552,0.1,g,inf,0.0
92,44259.10021994477,94.28006327474937,0.1,r,inf,0.0
93,44259.60021994477,67.78352638072512,0.1,i,inf,0.0
94,44259.60021994477,95.1295110692077,0.1,r,inf,0.0
95,44259.60021994477,26.437322277510237,0.1,g,inf,0.0
96,44260.10021994477,26.18104815534118,0.1,g,inf,0.0
97,44260.10021994477,67.60940922454562,0.1,i,inf,0.0
98,44260.10021994477,93.93143500959512,0.1,r,inf,0.0
99,44260.60021994477,25.479095425196437,0.1,g,inf,0.0
100,44260.60021994477,93.23804444600907,0.1,r,inf,0.0
101,44260.60021994477,67.55201079019777,0.1,i,inf,0.0
