,jd,mag,mag_unc,filter,limmag,programid
0,44244.100219185544,45.59127715544087,0.1,g,inf,0.0
1,44244.100219185544,51.50591378397334,0.1,i,inf,0.0
2,44244.100219185544,87.46055533229044,0.1,r,inf,0.0
3,44244.600219185544,24.811845920947945,0.1,g,inf,0.0
4,44244.600219185544,21.366768094434303,0.1,i,inf,0.0
5,44244.600219185544,26.490335696519175,0.1,r,inf,0.0
6,44245.100219185544,24.41231422965517,0.1,g,inf,0.0
7,44245.100219185544,22.31863032833134,0.1,i,inf,0.0
8,44245.100219185544,29.707045175702778,0.1,r,inf,0.0
9,44245.600219185544,22.776180710613893,0.1,g,inf,0.0
10,44245.600219185544,17.949203769572993,0.1,i,inf,0.0
11,44245.600219185544,32.62305270881919,0.1,r,inf,0.0
12,44246.100219185544,22.194611193822343,0.1,g,inf,0.0
13,44246.100219185544,15.007803587241561,0.1,i,inf,0.0
14,44246.100219185544,28.2144189660373,0.1,r,inf,0.0
15,44246.600219185544,16.026123145631257,0.1,i,inf,0.0
16,44246.600219185544,25.72987765369418,0.1,r,inf,0.0
17,44246.600219185544,22.747671522014375,0.1,g,inf,0.0
18,44247.100219185544,26.502839064425842,0.1,r,inf,0.0
19,44247.100219185544,23.69864659539377,0.1,g,inf,0.0
20,44247.100219185544,17.90679694285825,0.1,i,inf,0.0
21,44247.600219185544,26.52052642661147,0.1,r,inf,0.0
22,44247.600219185544,24.06591468784065,0.1,g,inf,0.0
23,44247.600219185544,19.986189631678943,0.1,i,inf,0.0
24,44248.100219185544,26.5413125163186,0.1,r,inf,0.0
25,44248.100219185544,24.532979938435833,0.1,g,inf,0.0
26,44248.100219185544,22.014427268389685,0.1,i,inf,0.0
27,44248.600219185544,26.8099971419106,0.1,r,inf,0.0
28,44248.600219185544,24.758771930328606,0.1,g,inf,0.0
29,44248.600219185544,23.380229594962522,0.1,i,inf,0.0
30,44249.100219185544,27.521575618503466,0.1,r,inf,0.0
31,44249.100219185544,25.471840684364494,0.1,i,inf,0.0
32,44249.100219185544,24.8449702960597,0.1,g,inf,0.0
33,44249.600219185544,26.927061282029012,0.1,i,inf,0.0
34,44249.600219185544,30.356369853372538,0.1,r,inf,0.0
35,44249.600219185544,25.207039424678232,0.1,g,inf,0.0
36,44250.100219185544,28.928230621116633,0.1,i,inf,0.0
37,44250.100219185544,33.10479693817562,0.1,r,inf,0.0
38,44250.100219185544,25.60857787751265,0.1,g,inf,0.0
39,44250.600219185544,30.67214403274054,0.1,i,inf,0.0
40,44250.600219185544,35.417332421722286,0.1,r,inf,0.0
41,44250.600219185544,25.953737456578462,0.1,g,inf,0.0
42,44251.100219185544,32.73678797176273,0.1,i,inf,0.0
43,44251.100219185544,38.802911257052045,0.1,r,inf,0.0
44,44251.100219185544,26.313863138598098,0.1,g,inf,0.0
45,44251.600219185544,41.71209660343767,0.1,r,inf,0.0
46,44251.600219185544,26.646291662489983,0.1,g,inf,0.0
47,44251.600219185544,34.46613700280319,0.1,i,inf,0.0
48,44252.100219185544,27.083252593059537,0.1,g,inf,0.0
49,44252.100219185544,36.01348706819363,0.1,i,inf,0.0
50,44252.100219185544,43.99194405651014,0.1,r,inf,0.0
51,44252.600219185544,27.671010471862925,0.1,g,inf,0.0
52,44252.600219185544,37.83258757421971,0.1,i,inf,0.0
53,44252.600219185544,46.755503677035904,0.1,r,inf,0.0
54,44253.100219185544,27.708529258482507,0.1,g,inf,0.0
55,44253.100219185544,39.45091238034502,0.1,i,inf,0.0
56,44253.100219185544,48.45077508329322,0.1,r,inf,0.0
57,44253.600219185544,28.200371642527397,0.1,g,inf,0.0
58,44253.600219185544,40.672928857565246,0.1,i,inf,0.0
