,jd,mag,mag_unc,filter,limmag,programid
0,44244.10021877864,84.86526175793522,0.1,g,inf,0.0
1,44244.10021877864,102.05242618126069,0.1,i,inf,0.0
2,44244.10021877864,225.43323604310964,0.1,r,inf,0.0
3,44244.60021877864,29.49877363861872,0.1,g,inf,0.0
4,44244.60021877864,25.841098771631973,0.1,i,inf,0.0
5,44244.60021877864,39.58324346928048,0.1,r,inf,0.0
6,44245.10021877864,29.092607929194724,0.1,g,inf,0.0
7,44245.10021877864,26.105768193877577,0.1,i,inf,0.0
8,44245.10021877864,40.495386607484946,0.1,r,inf,0.0
9,44245.60021877864,19.77658969606584,0.1,g,inf,0.0
10,44245.60021877864,22.54104170706093,0.1,i,inf,0.0
11,44245.60021877864,53.27051747036303,0.1,r,inf,0.0
12,44246.10021877864,13.800664530129488,0.1,g,inf,0.0
13,44246.10021877864,8.690387146395985,0.1,i,inf,0.0
14,44246.10021877864,41.35398188733166,0.1,r,inf,0.0
15,44246.60021877864,7.9793670661791225,0.1,i,inf,0.0
16,44246.60021877864,31.043077108209893,0.1,r,inf,0.0
17,44246.60021877864,14.901490207564166,0.1,g,inf,0.0
18,44247.10021877864,25.550014474439152,0.1,r,inf,0.0
19,44247.10021877864,16.931541653872205,0.1,g,inf,0.0
20,44247.10021877864,10.469534898851474,0.1,i,inf,0.0
21,44247.60021877864,27.69226489446222,0.1,r,inf,0.0
22,44247.60021877864,19.62897396614805,0.1,g,inf,0.0
23,44247.60021877864,14.607797854341245,0.1,i,inf,0.0
24,44248.10021877864,26.477587663316505,0.1,r,inf,0.0
25,44248.10021877864,20.710120387366928,0.1,g,inf,0.0
26,44248.10021877864,19.64353119199307,0.1,i,inf,0.0
27,44248.60021877864,27.54622664008923,0.1,r,inf,0.0
28,44248.60021877864,21.169801616981278,0.1,g,inf,0.0
29,44248.60021877864,23.85491445365345,0.1,i,inf,0.0
30,44249.10021877864,28.39332711596494,0.1,r,inf,0.0
31,44249.10021877864,27.076996074469676,0.1,i,inf,0.0
32,44249.10021877864,21.06940270986488,0.1,g,inf,0.0
33,44249.60021877864,31.35305575742454,0.1,i,inf,0.0
34,44249.60021877864,30.21204704258052,0.1,r,inf,0.0
35,44249.60021877864,20.656634723686814,0.1,g,inf,0.0
36,44250.10021877864,35.2556217535652,0.1,i,inf,0.0
37,44250.10021877864,37.45787362557415,0.1,r,inf,0.0
38,44250.10021877864,21.640065592004913,0.1,g,inf,0.0
39,44250.60021877864,38.76689532052767,0.1,i,inf,0.0
40,44250.60021877864,43.83583872915475,0.1,r,inf,0.0
41,44250.60021877864,21.367048580658214,0.1,g,inf,0.0
42,44251.10021877864,43.15725244994627,0.1,i,inf,0.0
43,44251.10021877864,51.376981220497704,0.1,r,inf,0.0
44,44251.10021877864,22.30092448898973,0.1,g,inf,0.0
45,44251.60021877864,59.04412657683314,0.1,r,inf,0.0
46,44251.60021877864,21.49541962256669,0.1,g,inf,0.0
47,44251.60021877864,47.90720772418395,0.1,i,inf,0.0
48,44252.10021877864,21.50263379361503,0.1,g,inf,0.0
49,44252.10021877864,51.93948184264383,0.1,i,inf,0.0
50,44252.10021877864,64.67698974946353,0.1,r,inf,0.0
51,44252.60021877864,21.838617056087124,0.1,g,inf,0.0
52,44252.60021877864,56.14857715566824,0.1,i,inf,0.0
53,44252.60021877864,72.6204865215101,0.1,r,inf,0.0
54,44253.10021877864,22.02402601993178,0.1,g,inf,0.0
55,44253.10021877864,59.56415883003739,0.1,i,inf,0.0
56,44253.10021877864,78.95689790626975,0.1,r,inf,0.0
57,44253.60021877864,22.781860644609434,0.1,g,inf,0.0
58,44253.60021877864,63.24035728982339,0.1,i,inf,0.0
59,44253.60021877864,86.40051155604822,0.1,r,inf,0.0
60,44254.10021877864,66.6839739434965,0.1,i,inf,0.0
61,44254.10021877864,88.50671704583506,0.1,r,inf,0.0
62,44254.10021877864,21.784613273577886,0.1,g,inf,0.0
63,44254.60021877864,92.35595496511907,0.1,r,inf,0.0
64,44254.60021877864,22.12971567126289,0.1,g,inf,0.0
65,44254.60021877864,70.00140670483677,0.1,i,inf,0.0
66,44255.10021877864,98.17885155328793,0.1,r,inf,0.0
67,44255.10021877864,23.40489890501932,0.1,g,inf,0.0
68,44255.10021877864,72.62020572439911,0.1,i,inf,0.0
69,44255.60021877864,100.88252010215926,0.1,r,inf,0.0
70,44255.60021877864,24.46768993482376,0.1,g,inf,0.0
71,44255.60021877864,74.09806959311854,0.1,i,inf,0.0
72,44256.10021877864,105.05653092075039,0.1,r,inf,0.0
73,44256.10021877864,22.937323630117238,0.1,g,inf,0.0
74,44256.10021877864,77.28653054501967,0.1,i,inf,0.0
75,44256.60021877864,23.29449906990186,0.1,g,inf,0.0
76,44256.60021877864,79.44645370058242,0.1,i,inf,0.0
77,44256.60021877864,109.30360027265608,0.1,r,inf,0.0
78,44257.10021877864,80.67808064502239,0.1,i,inf,0.0
79,44257.10021877864,112.33542783727634,0.1,r,inf,0.0
80,44257.10021877864,22.615498373661566,0.1,g,inf,0.0
