,jd,mag,mag_unc,filter,limmag,programid
0,44244.10021875788,85.27927112240397,0.1,g,inf,0.0
1,44244.10021875788,104.84965775263416,0.1,i,inf,0.0
2,44244.10021875788,226.49057176690542,0.1,r,inf,0.0
3,44244.60021875788,30.167187522306705,0.1,g,inf,0.0
4,44244.60021875788,24.621494273632198,0.1,i,inf,0.0
5,44244.60021875788,41.089373824847,0.1,r,inf,0.0
6,44245.10021875788,30.107249393168836,0.1,g,inf,0.0
7,44245.10021875788,24.014315727473313,0.1,i,inf,0.0
8,44245.10021875788,42.504139853979716,0.1,r,inf,0.0
9,44245.60021875788,22.078294505608245,0.1,g,inf,0.0
10,44245.60021875788,20.43359183761042,0.1,i,inf,0.0
11,44245.60021875788,55.49467711393382,0.1,r,inf,0.0
12,44246.10021875788,16.273737539325626,0.1,g,inf,0.0
13,44246.10021875788,5.5441383222120715,0.1,i,inf,0.0
14,44246.10021875788,45.22393559882872,0.1,r,inf,0.0
15,44246.60021875788,4.612408652485964,0.1,i,inf,0.0
16,44246.60021875788,34.97669656528213,0.1,r,inf,0.0
17,44246.60021875788,17.2275960086702,0.1,g,inf,0.0
18,44247.10021875788,29.315817910476888,0.1,r,inf,0.0
19,44247.10021875788,18.99319130583928,0.1,g,inf,0.0
20,44247.10021875788,7.238150090877653,0.1,i,inf,0.0
21,44247.60021875788,31.129965462481387,0.1,r,inf,0.0
22,44247.60021875788,21.41138836100748,0.1,g,inf,0.0
23,44247.60021875788,11.5950590029831,0.1,i,inf,0.0
24,44248.10021875788,29.76663292430613,0.1,r,inf,0.0
25,44248.10021875788,21.901601643058672,0.1,g,inf,0.0
26,44248.10021875788,17.08833966900099,0.1,i,inf,0.0
27,44248.60021875788,30.348971335267944,0.1,r,inf,0.0
28,44248.60021875788,22.701063191510936,0.1,g,inf,0.0
29,44248.60021875788,21.477272850570888,0.1,i,inf,0.0
30,44249.10021875788,30.285043107968907,0.1,r,inf,0.0
31,44249.10021875788,24.9880201713077,0.1,i,inf,0.0
32,44249.10021875788,22.31160890680722,0.1,g,inf,0.0
33,44249.60021875788,29.319995367329426,0.1,i,inf,0.0
34,44249.60021875788,32.10049633071822,0.1,r,inf,0.0
35,44249.60021875788,21.71040444343097,0.1,g,inf,0.0
36,44250.10021875788,33.47546181098916,0.1,i,inf,0.0
37,44250.10021875788,38.744325130573,0.1,r,inf,0.0
38,44250.10021875788,23.02090673035085,0.1,g,inf,0.0
39,44250.60021875788,36.77553494047453,0.1,i,inf,0.0
40,44250.60021875788,45.11755789737906,0.1,r,inf,0.0
41,44250.60021875788,22.495512930971913,0.1,g,inf,0.0
42,44251.10021875788,41.3158428205013,0.1,i,inf,0.0
43,44251.10021875788,52.60142440855943,0.1,r,inf,0.0
44,44251.10021875788,23.79488922079344,0.1,g,inf,0.0
45,44251.60021875788,59.14598833523755,0.1,r,inf,0.0
46,44251.60021875788,22.358502335908913,0.1,g,inf,0.0
47,44251.60021875788,46.4096787820651,0.1,i,inf,0.0
48,44252.10021875788,22.354178123120217,0.1,g,inf,0.0
49,44252.10021875788,50.70214707234114,0.1,i,inf,0.0
50,44252.10021875788,66.63989550837489,0.1,r,inf,0.0
51,44252.60021875788,23.015195689799533,0.1,g,inf,0.0
52,44252.60021875788,54.72677403952318,0.1,i,inf,0.0
53,44252.60021875788,74.59565734368802,0.1,r,inf,0.0
54,44253.10021875788,23.076529557344323,0.1,g,inf,0.0
55,44253.10021875788,58.49622170932537,0.1,i,inf,0.0
56,44253.10021875788,80.10310117399169,0.1,r,inf,0.0
57,44253.60021875788,24.001167555537773,0.1,g,inf,0.0
58,44253.60021875788,62.275620185503016,0.1,i,inf,0.0
59,44253.60021875788,87.37780341089932,0.1,r,inf,0.0
60,44254.10021875788,65.90260299144772,0.1,i,inf,0.0
61,44254.10021875788,90.77661468393293,0.1,r,inf,0.0
62,44254.10021875788,22.959106420538816,0.1,g,inf,0.0
63,44254.60021875788,93.83040199417401,0.1,r,inf,0.0
64,44254.60021875788,23.70353444319892,0.1,g,inf,0.0
65,44254.60021875788,69.43883233877956,0.1,i,inf,0.0
66,44255.10021875788,101.22952648479563,0.1,r,inf,0.0
67,44255.10021875788,25.44878753946049,0.1,g,inf,0.0
68,44255.10021875788,72.05831993714285,0.1,i,inf,0.0
69,44255.60021875788,103.49290308162342,0.1,r,inf,0.0
70,44255.60021875788,26.104297681717618,0.1,g,inf,0.0
71,44255.60021875788,74.0363218207386,0.1,i,inf,0.0
