    0.875888232721705322E+03    0.455056366543231334E+02    0.110890345171121951E+01   -0.634756493857122628E-01   -0.217778769588741650E+01   -0.158535942936553753E+01   -0.120544161057629225E+03
    0.879759734906751191E+03    0.581996970523567612E+02    0.109630174710246897E+01    0.709091009348572499E-02   -0.183013641311403363E+01   -0.248141257332344756E+01   -0.120384074318109668E+03
    0.883183423302756523E+03    0.605992931828710510E+02    0.109281268005401233E+01   -0.560798659091865659E-02   -0.179615067692659380E+01   -0.288300836138039562E+01   -0.120348727478211401E+03
    0.861673859424344528E+03    0.420077278914755112E+02    0.111275779782756201E+01    0.209260092587326696E-02   -0.245010301529689301E+01   -0.241872375943191198E+01   -0.119257555559856982E+03
    0.867611445433090807E+03    0.625217316466665309E+02    0.110141067220162392E+01   -0.313266132558638333E-01   -0.204799757502995661E+01   -0.272320623842018250E+01   -0.118975951203034427E+03
    0.880951852889108750E+03    0.614566336042162149E+02    0.110721111022449481E+01   -0.685249742888038860E-02   -0.175413320291939256E+01   -0.265749350024368836E+01   -0.118694675974957590E+03
    0.863565373152770121E+03    0.479577098500811516E+02    0.110667430746080009E+01   -0.200754523110555638E-01   -0.239897901860793006E+01   -0.203928368343601019E+01   -0.118603136541637724E+03
    0.867066996078078091E+03    0.551921458614600482E+02    0.109159883657424883E+01   -0.889102914584150028E-02   -0.192865477259234863E+01   -0.196822548993775293E+01   -0.118475336731311302E+03
    0.851763824028231966E+03    0.465313923507785319E+02    0.110850233106241358E+01   -0.152645415100147730E-01   -0.212897746438679558E+01   -0.118667186784474943E+01   -0.117811726875284904E+03
    0.865800844675218627E+03    0.445518165748411406E+02    0.109769623522563542E+01   -0.195814475536111310E-01   -0.233266603805196970E+01   -0.120572562221802659E+01   -0.117744067721665886E+03
    0.873020128952407731E+03    0.392011511160612400E+02    0.110756804728541813E+01   -0.444640463346663850E-01   -0.238011078637093654E+01   -0.243850950456115090E+01   -0.117642012862974212E+03
    0.859944250286655461E+03    0.395025468163967872E+02    0.111392398281653193E+01   -0.207758792881942433E-01   -0.207395120551405565E+01   -0.235626066344340934E+01   -0.117498898142970091E+03
    0.879853376711965666E+03    0.665396713716726822E+02    0.109372230408474125E+01   -0.186119538448541455E-01   -0.203641678611012411E+01   -0.239247713931273065E+01   -0.117463089883041746E+03
    0.870674448442832613E+03    0.476495573650777615E+02    0.109846815211104332E+01    0.761435119548981021E-02   -0.205883504478605550E+01   -0.202771149164035647E+01   -0.117317302041754914E+03
    0.875395788646100527E+03    0.497851957472780242E+02    0.111286429836186662E+01   -0.235258167602965251E-01   -0.212966363802076764E+01   -0.137686541846564747E+01   -0.117299802333151206E+03
    0.859509949534841098E+03    0.349144204586604232E+02    0.111292748699407973E+01   -0.254477901755472136E-01   -0.220996222033631007E+01   -0.121736487769326152E+01   -0.117275633137416563E+03
    0.887664820310056825E+03    0.587989993273732239E+02    0.110357082345172408E+01   -0.430757944049009467E-02   -0.204943586130515110E+01   -0.193224329896080049E+01   -0.117122875329382381E+03
    0.887380842760109999E+03    0.546255170949313609E+02    0.109720720729906440E+01   -0.245028505527495888E-01   -0.193257051537124003E+01   -0.188856066229696329E+01   -0.117045484887914981E+03
    0.864937024680730246E+03    0.532007659805488089E+02    0.110386806606618526E+01   -0.316556459625407793E-01   -0.187991526417956711E+01   -0.178362687552834820E+01   -0.116999607004082108E+03
    0.864643828757164215E+03    0.582254413731987484E+02    0.109615513309991086E+01   -0.321307580718224184E-01   -0.216095316178114061E+01   -0.176731141355496812E+01   -0.116898388312754207E+03
    0.852575094149221059E+03    0.451363156698463612E+02    0.110602981357009300E+01   -0.113301286341536134E-01   -0.214991391506444440E+01   -0.291263357431453418E+01   -0.116751167198868245E+03
    0.883528294075833742E+03    0.507651153480169626E+02    0.110417120376454392E+01   -0.463578912700930434E-01   -0.216075061935991464E+01   -0.292246039635845811E+01   -0.116657791372132976E+03
    0.853384531439964917E+03    0.584781124078880836E+02    0.109988814999409001E+01   -0.308613918303857204E-02   -0.204534375901814292E+01   -0.182394281350052290E+01   -0.116648161782904936E+03
