,jd,mag,mag_unc,filter,limmag,programid
0,44244.100218814114,33.04878965630504,0.1,g,inf,0.0
1,44244.100218814114,36.01945403952665,0.1,i,inf,0.0
2,44244.100218814114,48.761688613973504,0.1,r,inf,0.0
3,44244.600218814114,24.50482422664343,0.1,g,inf,0.0
4,44244.600218814114,22.561083349129106,0.1,i,inf,0.0
5,44244.600218814114,24.949271750779708,0.1,r,inf,0.0
6,44245.100218814114,23.887297391611316,0.1,g,inf,0.0
7,44245.100218814114,22.06934618576189,0.1,i,inf,0.0
8,44245.100218814114,25.027554402570782,0.1,r,inf,0.0
9,44245.600218814114,24.143885723444992,0.1,g,inf,0.0
10,44245.600218814114,20.362032522147118,0.1,i,inf,0.0
11,44245.600218814114,26.976603332297284,0.1,r,inf,0.0
12,44246.100218814114,24.42885006996655,0.1,g,inf,0.0
13,44246.100218814114,19.421139377523183,0.1,i,inf,0.0
14,44246.100218814114,25.948024546778434,0.1,r,inf,0.0
15,44246.600218814114,20.171818674134308,0.1,i,inf,0.0
16,44246.600218814114,25.25704242429439,0.1,r,inf,0.0
17,44246.600218814114,24.954699713431566,0.1,g,inf,0.0
18,44247.100218814114,25.22341136416059,0.1,r,inf,0.0
19,44247.100218814114,25.681898683265725,0.1,g,inf,0.0
20,44247.100218814114,21.070731784863867,0.1,i,inf,0.0
21,44247.600218814114,25.69306927771841,0.1,r,inf,0.0
22,44247.600218814114,26.141329033626587,0.1,g,inf,0.0
23,44247.600218814114,21.98612419520747,0.1,i,inf,0.0
24,44248.100218814114,25.614114608227336,0.1,r,inf,0.0
25,44248.100218814114,26.47827724645831,0.1,g,inf,0.0
26,44248.100218814114,23.06092256184823,0.1,i,inf,0.0
27,44248.600218814114,25.961088221180738,0.1,r,inf,0.0
28,44248.600218814114,27.037816147090723,0.1,g,inf,0.0
29,44248.600218814114,23.756965151733816,0.1,i,inf,0.0
30,44249.100218814114,26.25839966677658,0.1,r,inf,0.0
31,44249.100218814114,24.693332006080077,0.1,i,inf,0.0
32,44249.100218814114,27.404347184943088,0.1,g,inf,0.0
33,44249.600218814114,25.348378426754728,0.1,i,inf,0.0
34,44249.600218814114,26.819347759053098,0.1,r,inf,0.0
35,44249.600218814114,27.78326295159868,0.1,g,inf,0.0
36,44250.100218814114,26.257266696909383,0.1,i,inf,0.0
37,44250.100218814114,27.931886526795175,0.1,r,inf,0.0
38,44250.100218814114,28.317412267538067,0.1,g,inf,0.0
39,44250.600218814114,26.778506504761044,0.1,i,inf,0.0
40,44250.600218814114,28.894326299569848,0.1,r,inf,0.0
41,44250.600218814114,28.774009945098033,0.1,g,inf,0.0
42,44251.100218814114,27.738310232363748,0.1,i,inf,0.0
43,44251.100218814114,29.857329619269247,0.1,r,inf,0.0
44,44251.100218814114,29.13167433961474,0.1,g,inf,0.0
45,44251.600218814114,31.2333063584349,0.1,r,inf,0.0
46,44251.600218814114,29.34069208965765,0.1,g,inf,0.0
47,44251.600218814114,28.676946246729226,0.1,i,inf,0.0
48,44252.100218814114,29.831897243219597,0.1,g,inf,0.0
49,44252.100218814114,29.19458936924544,0.1,i,inf,0.0
50,44252.100218814114,32.41609099203837,0.1,r,inf,0.0
51,44252.600218814114,30.2794062329958,0.1,g,inf,0.0
52,44252.600218814114,30.078171081717784,0.1,i,inf,0.0
53,44252.600218814114,33.269829479113646,0.1,r,inf,0.0
54,44253.100218814114,30.779954731984446,0.1,g,inf,0.0
55,44253.100218814114,30.94249199307576,0.1,i,inf,0.0
56,44253.100218814114,34.20300544449056,0.1,r,inf,0.0
57,44253.600218814114,30.93999474808605,0.1,g,inf,0.0
58,44253.600218814114,31.346084957061212,0.1,i,inf,0.0
59,44253.600218814114,35.134678188830584,0.1,r,inf,0.0
60,44254.100218814114,32.21498938421396,0.1,i,inf,0.0
61,44254.100218814114,35.75993933892382,0.1,r,inf,0.0
62,44254.100218814114,31.347987763109096,0.1,g,inf,0.0
63,44254.600218814114,36.96566340010432,0.1,r,inf,0.0
64,44254.600218814114,31.77138205744573,0.1,g,inf,0.0
65,44254.600218814114,32.85666338513506,0.1,i,inf,0.0
66,44255.100218814114,37.574657690153565,0.1,r,inf,0.0
67,44255.100218814114,32.112147888049925,0.1,g,inf,0.0
68,44255.100218814114,33.3621445045768,0.1,i,inf,0.0
69,44255.600218814114,38.51918907594727,0.1,r,inf,0.0
70,44255.600218814114,32.61832418312023,0.1,g,inf,0.0
71,44255.600218814114,33.90907185886007,0.1,i,inf,0.0
72,44256.100218814114,39.4261090716878,0.1,r,inf,0.0
73,44256.100218814114,33.04418524780161,0.1,g,inf,0.0
