,jd,mag,mag_unc,filter,limmag,programid
0,44244.100219186825,89.29275644083006,0.1,g,inf,0.0
1,44244.100219186825,110.41195131628544,0.1,i,inf,0.0
2,44244.100219186825,242.46600347928174,0.1,r,inf,0.0
3,44244.600219186825,30.484857338393958,0.1,g,inf,0.0
4,44244.600219186825,23.49591484725889,0.1,i,inf,0.0
5,44244.600219186825,39.9975354478857,0.1,r,inf,0.0
6,44245.100219186825,29.629399666193272,0.1,g,inf,0.0
7,44245.100219186825,24.761599125180833,0.1,i,inf,0.0
8,44245.100219186825,45.07875960794686,0.1,r,inf,0.0
9,44245.600219186825,19.634328837269553,0.1,g,inf,0.0
10,44245.600219186825,18.14342592075555,0.1,i,inf,0.0
11,44245.600219186825,59.3081662033987,0.1,r,inf,0.0
12,44246.100219186825,14.61524079683825,0.1,g,inf,0.0
13,44246.100219186825,3.1037514964301076,0.1,i,inf,0.0
14,44246.100219186825,42.980722153226615,0.1,r,inf,0.0
15,44246.600219186825,3.427429597955164,0.1,i,inf,0.0
16,44246.600219186825,32.798250886115724,0.1,r,inf,0.0
17,44246.600219186825,15.862010181057503,0.1,g,inf,0.0
18,44247.100219186825,29.187327647610275,0.1,r,inf,0.0
19,44247.100219186825,17.962930589158947,0.1,g,inf,0.0
20,44247.100219186825,7.073861888350464,0.1,i,inf,0.0
21,44247.600219186825,30.868111186106532,0.1,r,inf,0.0
22,44247.600219186825,20.05923239057896,0.1,g,inf,0.0
23,44247.600219186825,12.448462808455501,0.1,i,inf,0.0
24,44248.100219186825,28.556431377683353,0.1,r,inf,0.0
25,44248.100219186825,21.894462359755153,0.1,g,inf,0.0
26,44248.100219186825,17.92260923082457,0.1,i,inf,0.0
27,44248.600219186825,29.270962221783382,0.1,r,inf,0.0
28,44248.600219186825,20.651601025055296,0.1,g,inf,0.0
29,44248.600219186825,22.809736386578603,0.1,i,inf,0.0
30,44249.100219186825,31.35888161772471,0.1,r,inf,0.0
31,44249.100219186825,26.96322642570337,0.1,i,inf,0.0
32,44249.100219186825,20.52895857744916,0.1,g,inf,0.0
33,44249.600219186825,31.914705072912174,0.1,i,inf,0.0
34,44249.600219186825,34.25130931536406,0.1,r,inf,0.0
35,44249.600219186825,21.160584060239035,0.1,g,inf,0.0
36,44250.100219186825,35.76053950440981,0.1,i,inf,0.0
37,44250.100219186825,42.639048345862925,0.1,r,inf,0.0
