

    0.104334903010631455E-98    0.686702480107978317E+03    0.119042146510571661E+04    0.505549622270819512E+02    0.928536821986857386E+00   -0.920313463961623945E-01   -0.129582713471391808E+01   -0.181915435291085359E+01
    0.156430648540036409E-98    0.685888560208266199E+03    0.116918933601796903E+04    0.749138259045457175E+02    0.849381465177349693E+00   -0.262728683677055708E+00   -0.163319223148960857E+01   -0.243397823723439766E+01
    0.214532516731215231E-98    0.685252956861093594E+03    0.115046260309488025E+04    0.196640326010043012E+02    0.888889647624019230E+00   -0.467918348998159095E+00   -0.207925492880661000E+01   -0.101373265784306077E+01
    0.315511517570970773E-98    0.684477582876983433E+03    0.108839260848658341E+04    0.262709344053021638E+02    0.896226955190784436E+00   -0.511704606324966615E+00   -0.215379177202118566E+01   -0.257364635074425419E+01
    0.360536031327455203E-98    0.684206883201288178E+03    0.130018095969270325E+04    0.285446633982540803E+02    0.938296559839445266E+00   -0.442101962274931370E+00   -0.167612249261339552E+01   -0.296273132677376916E+01
    0.361194771149236499E-98    0.684199326060942667E+03    0.142640423395801963E+04    0.225592335344713746E+02    0.912944760589599391E+00   -0.389831718522947845E+00   -0.224965452779511699E+01   -0.147798176968175898E+01
    0.432802756836406795E-98    0.683833690306592985E+03    0.124191164911122155E+04    0.739991062933971619E+02    0.937877463090440622E+00   -0.206851426922905146E+00   -0.164212893536025062E+01   -0.151503710578305362E+01
    0.468961590472102762E-98    0.683669306514267419E+03    0.128821739192758264E+04    0.247356535460291589E+02    0.891723382851422830E+00   -0.304715154242150454E+00   -0.233759041352249142E+01   -0.237839864175030469E+01
    0.577781293765790902E-98    0.683248051175999422E+03    0.899486893218764180E+03    0.576508327992149816E+02    0.853224732738215863E+00   -0.380718313085596449E+00   -0.168102897276924956E+01   -0.252469508727166048E+01
    0.597204290987677325E-98    0.683178017249524373E+03    0.133293177046002825E+04    0.401319508472582811E+02    0.939824447785885364E+00   -0.279991940694398034E+00   -0.255785543558482686E+01   -0.239097164931751083E+01
    0.610564158085832375E-98    0.683129862742999194E+03    0.972465008252301459E+03    0.531508136661073110E+02    0.917539654435799990E+00   -0.357167069365272205E+00   -0.125352451663905384E+01   -0.280861583602141618E+01
    0.616293573867959690E-98    0.683107276389237995E+03    0.871402242704935020E+03    0.201839299305890663E+02    0.904906222888381628E+00   -0.789210762514556130E-01   -0.133302733397391560E+01   -0.264211416047229131E+01
